,agent_id,task_category,task_complexity,autonomy_level,accuracy_score,success_rate,after_accuracy_score,after_success_rate
419,AG_03813,Problem Solving,10,9,0.4,0.3,0.3876586544110012,0.26122919135994577
423,AG_04820,Code Generation,8,9,0.5225,0.3186,0.5101586544110012,0.2798291913599458
427,AG_00460,Learning & Adaptation,9,8,0.425,0.3,0.4126586544110012,0.26122919135994577
428,AG_00028,Learning & Adaptation,7,9,0.4941,0.4202,0.4817586544110012,0.3814291913599458
430,AG_00499,Research & Summarization,8,8,0.4866,0.4029,0.4742586544110012,0.36412919135994576
433,AG_02515,Learning & Adaptation,8,8,0.4303,0.4117,0.4179586544110012,0.3729291913599458
434,AG_04351,Research & Summarization,8,7,0.4606,0.344,0.4482586544110012,0.30522919135994575
435,AG_04146,Research & Summarization,9,9,0.4,0.3084,0.3876586544110012,0.2696291913599458
442,AG_01599,Decision Making,9,8,0.4,0.3,0.3876586544110012,0.26122919135994577
446,AG_02033,Problem Solving,10,9,0.4,0.3,0.3876586544110012,0.26122919135994577
447,AG_03369,Research & Summarization,8,8,0.4266,0.3245,0.4142586544110012,0.2857291913599458
458,AG_00980,Decision Making,9,10,0.4,0.3,0.3876586544110012,0.26122919135994577
460,AG_03920,Code Generation,9,9,0.4731,0.3,0.4607586544110012,0.26122919135994577
461,AG_01310,Decision Making,9,8,0.4097,0.3,0.3973586544110012,0.26122919135994577
464,AG_04365,Planning & Scheduling,7,9,0.4928,0.3657,0.4804586544110012,0.3269291913599458
468,AG_02851,Learning & Adaptation,10,8,0.4,0.3,0.3876586544110012,0.26122919135994577
470,AG_02737,Text Processing,7,9,0.4922,0.3498,0.47985865441100123,0.3110291913599458
472,AG_03654,Planning & Scheduling,7,8,0.5567,0.4116,0.5443586544110012,0.3728291913599458
476,AG_03898,Problem Solving,10,9,0.4,0.3,0.3876586544110012,0.26122919135994577
477,AG_00714,Learning & Adaptation,7,9,0.5761,0.4469,0.5637586544110011,0.4081291913599458
480,AG_00096,Learning & Adaptation,10,8,0.4,0.3,0.3876586544110012,0.26122919135994577
482,AG_00720,Problem Solving,9,8,0.4171,0.3079,0.40475865441100123,0.2691291913599458
484,AG_00215,Learning & Adaptation,9,10,0.4,0.3,0.3876586544110012,0.26122919135994577
486,AG_01736,Problem Solving,8,8,0.4674,0.3425,0.4550586544110012,0.3037291913599458
492,AG_03378,Creative Writing,8,8,0.4547,0.3,0.4423586544110012,0.26122919135994577
494,AG_02824,Learning & Adaptation,10,8,0.4,0.3,0.3876586544110012,0.26122919135994577
497,AG_04978,Research & Summarization,9,7,0.4,0.3,0.3876586544110012,0.26122919135994577
498,AG_04650,Problem Solving,8,8,0.4857,0.3039,0.4733586544110012,0.2651291913599458
502,AG_02352,Problem Solving,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
503,AG_02901,Decision Making,9,10,0.4226,0.3,0.4102586544110012,0.26122919135994577
505,AG_02662,Research & Summarization,8,7,0.4897,0.3179,0.4773586544110012,0.2791291913599458
511,AG_00650,Data Analysis,7,9,0.5681,0.3806,0.5557586544110013,0.34182919135994577
512,AG_00792,Code Generation,7,9,0.4441,0.4357,0.4317586544110012,0.39692919135994575
514,AG_00746,Decision Making,9,8,0.4,0.3,0.3876586544110012,0.26122919135994577
515,AG_00958,Research & Summarization,9,7,0.4,0.3001,0.3876586544110012,0.26132919135994576
518,AG_03935,Text Processing,7,9,0.5372,0.3754,0.5248586544110012,0.3366291913599458
519,AG_04998,Data Analysis,8,8,0.4,0.3331,0.3876586544110012,0.2943291913599458
527,AG_03705,Problem Solving,7,7,0.4404,0.3818,0.4280586544110012,0.34302919135994575
534,AG_03859,Problem Solving,8,9,0.4093,0.3014,0.3969586544110012,0.2626291913599458
535,AG_02967,Problem Solving,10,9,0.4,0.3,0.3876586544110012,0.26122919135994577
539,AG_01756,Creative Writing,7,7,0.4975,0.3082,0.4851586544110012,0.26942919135994575
540,AG_02937,Problem Solving,9,8,0.4601,0.3,0.4477586544110012,0.26122919135994577
541,AG_04104,Learning & Adaptation,9,7,0.4,0.3513,0.3876586544110012,0.3125291913599458
544,AG_00807,Data Analysis,8,9,0.4754,0.3006,0.4630586544110012,0.26182919135994576
549,AG_01176,Planning & Scheduling,7,9,0.5059,0.3029,0.4935586544110012,0.2641291913599458
550,AG_02673,Problem Solving,7,7,0.4331,0.4542,0.4207586544110012,0.41542919135994577
551,AG_03547,Learning & Adaptation,8,8,0.4759,0.3967,0.4635586544110012,0.3579291913599458
553,AG_04425,Problem Solving,9,10,0.4,0.3,0.3876586544110012,0.26122919135994577
554,AG_01161,Learning & Adaptation,8,9,0.4107,0.3395,0.3983586544110012,0.3007291913599458
565,AG_03906,Data Analysis,7,8,0.4476,0.4045,0.4352586544110012,0.3657291913599458
567,AG_04360,Learning & Adaptation,8,10,0.4,0.3,0.3876586544110012,0.26122919135994577
568,AG_02928,Decision Making,8,10,0.5035,0.4201,0.49115865441100115,0.38132919135994575
576,AG_00330,Planning & Scheduling,7,8,0.4699,0.4561,0.4575586544110012,0.4173291913599458
580,AG_00932,Decision Making,8,9,0.5139,0.4325,0.5015586544110012,0.3937291913599458
582,AG_02237,Data Analysis,7,9,0.5138,0.3408,0.5014586544110012,0.30202919135994577
583,AG_01581,Research & Summarization,9,10,0.4,0.3,0.3876586544110012,0.26122919135994577
585,AG_03465,Data Analysis,8,7,0.4912,0.3,0.4788586544110012,0.26122919135994577
586,AG_04246,Learning & Adaptation,8,9,0.5587,0.3,0.5463586544110012,0.26122919135994577
588,AG_02887,Problem Solving,7,8,0.4743,0.3295,0.4619586544110012,0.2907291913599458
589,AG_01181,Learning & Adaptation,8,9,0.4745,0.3,0.4621586544110012,0.26122919135994577
591,AG_01867,Decision Making,8,7,0.4,0.3218,0.3876586544110012,0.28302919135994575
